Number of nodes 188 
     0 :  2.0000000e+00  1.0000000e+00 
     1 :  2.0000000e+00 -1.0000000e+00 
     2 : -2.0000000e+00 -1.0000000e+00 
     3 : -2.0000000e+00  1.0000000e+00 
     4 :  2.0000000e+00  7.5000000e-01 
     5 :  2.0000000e+00  5.0000000e-01 
     6 :  2.0000000e+00  2.5000000e-01 
     7 :  2.0000000e+00  2.7565727e-12 
     8 :  2.0000000e+00 -2.5000000e-01 
     9 :  2.0000000e+00 -5.0000000e-01 
    10 :  2.0000000e+00 -7.5000000e-01 
    11 :  1.7647059e+00 -1.0000000e+00 
    12 :  1.5294118e+00 -1.0000000e+00 
    13 :  1.2941176e+00 -1.0000000e+00 
    14 :  1.0588235e+00 -1.0000000e+00 
    15 :  8.2352941e-01 -1.0000000e+00 
    16 :  5.8823529e-01 -1.0000000e+00 
    17 :  3.5294118e-01 -1.0000000e+00 
    18 :  1.1764706e-01 -1.0000000e+00 
    19 : -1.1764706e-01 -1.0000000e+00 
    20 : -3.5294118e-01 -1.0000000e+00 
    21 : -5.8823529e-01 -1.0000000e+00 
    22 : -8.2352941e-01 -1.0000000e+00 
    23 : -1.0588235e+00 -1.0000000e+00 
    24 : -1.2941176e+00 -1.0000000e+00 
    25 : -1.5294118e+00 -1.0000000e+00 
    26 : -1.7647059e+00 -1.0000000e+00 
    27 : -2.0000000e+00 -7.5000000e-01 
    28 : -2.0000000e+00 -5.0000000e-01 
    29 : -2.0000000e+00 -2.5000000e-01 
    30 : -2.0000000e+00 -2.7565727e-12 
    31 : -2.0000000e+00  2.5000000e-01 
    32 : -2.0000000e+00  5.0000000e-01 
    33 : -2.0000000e+00  7.5000000e-01 
    34 : -1.7647059e+00  1.0000000e+00 
    35 : -1.5294118e+00  1.0000000e+00 
    36 : -1.2941176e+00  1.0000000e+00 
    37 : -1.0588235e+00  1.0000000e+00 
    38 : -8.2352941e-01  1.0000000e+00 
    39 : -5.8823529e-01  1.0000000e+00 
    40 : -3.5294118e-01  1.0000000e+00 
    41 : -1.1764706e-01  1.0000000e+00 
    42 :  1.1764706e-01  1.0000000e+00 
    43 :  3.5294118e-01  1.0000000e+00 
    44 :  5.8823529e-01  1.0000000e+00 
    45 :  8.2352941e-01  1.0000000e+00 
    46 :  1.0588235e+00  1.0000000e+00 
    47 :  1.2941176e+00  1.0000000e+00 
    48 :  1.5294118e+00  1.0000000e+00 
    49 :  1.7647059e+00  1.0000000e+00 
    50 :  5.7716004e-01  8.9798539e-14 
    51 : -6.7280474e-01 -1.1220258e-13 
    52 :  1.2798135e+00  6.4779293e-13 
    53 :  8.2256512e-01  2.2417485e-13 
    54 : -4.0515406e-01 -3.4664511e-14 
    55 :  1.1923692e-01  5.0538277e-15 
    56 : -1.8324514e-02  5.0000000e-01 
    57 : -1.8324514e-02 -5.0000000e-01 
    58 : -8.5433545e-01  5.0304051e-01 
    59 : -1.7084220e-01  5.6666667e-01 
    60 :  2.8935674e-01 -4.8611111e-01 
    61 : -8.5406031e-01 -5.0313267e-01 
    62 : -1.7084220e-01 -5.6666667e-01 
    63 :  2.8935674e-01  4.8611111e-01 
    64 :  4.9643059e-01 -5.2979595e-01 
    65 : -6.4623896e-01  4.4593628e-01 
    66 :  4.9643103e-01  5.2979566e-01 
    67 : -6.4616444e-01 -4.4596124e-01 
    68 :  1.2422765e+00 -4.5731172e-01 
    69 :  1.2422765e+00  4.5731172e-01 
    70 : -1.2777703e+00  4.4757778e-01 
    71 : -1.2690670e+00 -4.4006174e-01 
    72 :  1.6545234e-01 -6.2258521e-01 
    73 :  1.6545234e-01  6.2258521e-01 
    74 : -1.5249870e+00 -3.5976781e-01 
    75 :  1.4900344e+00 -3.6210741e-01 
    76 :  1.4901207e+00  3.6204962e-01 
    77 :  1.6725739e+00 -8.0903243e-05 
    78 :  1.0780241e+00  4.2705654e-13 
    79 :  1.6235993e+00 -5.1292290e-01 
    80 :  1.6236250e+00  5.1290570e-01 
