Number of nodes 5382 
     0 :  3.7500000e-01  5.0000000e-01 
     1 :  0.0000000e+00 -1.0000000e+00 
     2 : -5.0000000e-01 -5.0000000e-01 
     3 :  5.0000000e-01 -1.0000000e+00 
     4 : -5.0000000e-01  1.0000000e+00 
     5 :  5.0000000e-01  1.0000000e+00 
     6 :  3.7346104e-01  5.1955431e-01 
     7 :  3.6888206e-01  5.3862712e-01 
     8 :  3.6137582e-01  5.5674881e-01 
     9 :  3.5112712e-01  5.7347316e-01 
    10 :  3.3838835e-01  5.8838835e-01 
    11 :  3.2347316e-01  6.0112712e-01 
    12 :  3.0674881e-01  6.1137582e-01 
    13 :  2.8862712e-01  6.1888206e-01 
    14 :  2.6955431e-01  6.2346104e-01 
    15 :  2.5000000e-01  6.2500000e-01 
    16 :  2.3044569e-01  6.2346104e-01 
    17 :  2.1137288e-01  6.1888206e-01 
    18 :  1.9325119e-01  6.1137582e-01 
    19 :  1.7652684e-01  6.0112712e-01 
    20 :  1.6161165e-01  5.8838835e-01 
    21 :  1.4887288e-01  5.7347316e-01 
    22 :  1.3862418e-01  5.5674881e-01 
    23 :  1.3111794e-01  5.3862712e-01 
    24 :  1.2653896e-01  5.1955431e-01 
    25 :  1.2500000e-01  5.0000000e-01 
    26 :  1.2653896e-01  4.8044569e-01 
    27 :  1.3111794e-01  4.6137288e-01 
    28 :  1.3862418e-01  4.4325119e-01 
    29 :  1.4887288e-01  4.2652684e-01 
    30 :  1.6161165e-01  4.1161165e-01 
    31 :  1.7652684e-01  3.9887288e-01 
    32 :  1.9325119e-01  3.8862418e-01 
    33 :  2.1137288e-01  3.8111794e-01 
    34 :  2.3044569e-01  3.7653896e-01 
    35 :  2.5000000e-01  3.7500000e-01 
    36 :  2.6955431e-01  3.7653896e-01 
    37 :  2.8862712e-01  3.8111794e-01 
    38 :  3.0674881e-01  3.8862418e-01 
    39 :  3.2347316e-01  3.9887288e-01 
    40 :  3.3838835e-01  4.1161165e-01 
    41 :  3.5112712e-01  4.2652684e-01 
    42 :  3.6137582e-01  4.4325119e-01 
    43 :  3.6888206e-01  4.6137288e-01 
    44 :  3.7346104e-01  4.8044569e-01 
    45 : -3.8548188e-04 -9.8037009e-01 
    46 : -1.5413331e-03 -9.6077045e-01 
    47 : -3.4657715e-03 -9.4123130e-01 
    48 : -6.1558297e-03 -9.2178277e-01 
    49 : -9.6073598e-03 -9.0245484e-01 
    50 : -1.3815040e-02 -8.8327732e-01 
    51 : -1.8772382e-02 -8.6427978e-01 
    52 : -2.4471742e-02 -8.4549150e-01 
    53 : -3.0904332e-02 -8.2694147e-01 
    54 : -3.8060234e-02 -8.0865828e-01 
    55 : -4.5928413e-02 -7.9067013e-01 
    56 : -5.4496738e-02 -7.7300475e-01 
    57 : -6.3751996e-02 -7.5568938e-01 
    58 : -7.3679918e-02 -7.3875072e-01 
    59 : -8.4265194e-02 -7.2221488e-01 
    60 : -9.5491503e-02 -7.0610737e-01 
    61 : -1.0734153e-01 -6.9045303e-01 
    62 : -1.1979702e-01 -6.7527598e-01 
    63 : -1.3283875e-01 -6.6059963e-01 
    64 : -1.4644661e-01 -6.4644661e-01 
    65 : -1.6059963e-01 -6.3283875e-01 
    66 : -1.7527598e-01 -6.1979702e-01 
    67 : -1.9045303e-01 -6.0734153e-01 
    68 : -2.0610737e-01 -5.9549150e-01 
    69 : -2.2221488e-01 -5.8426519e-01 
    70 : -2.3875072e-01 -5.7367992e-01 
    71 : -2.5568938e-01 -5.6375200e-01 
    72 : -2.7300475e-01 -5.5449674e-01 
    73 : -2.9067013e-01 -5.4592841e-01 
    74 : -3.0865828e-01 -5.3806023e-01 
    75 : -3.2694147e-01 -5.3090433e-01 
    76 : -3.4549150e-01 -5.2447174e-01 
    77 : -3.6427978e-01 -5.1877238e-01 
    78 : -3.8327732e-01 -5.1381504e-01 
    79 : -4.0245484e-01 -5.0960736e-01 
    80 : -4.2178277e-01 -5.0615583e-01 
    81 : -4.4123130e-01 -5.0346577e-01 
    82 : -4.6077045e-01 -5.0154133e-01 
    83 : -4.8037009e-01 -5.0038548e-01 
    84 :  2.0000000e-02 -1.0000000e+00 
    85 :  4.0000000e-02 -1.0000000e+00 
    86 :  6.0000000e-02 -1.0000000e+00 
    87 :  8.0000000e-02 -1.0000000e+00 
    88 :  1.0000000e-01 -1.0000000e+00 
    89 :  1.2000000e-01 -1.0000000e+00 
    90 :  1.4000000e-01 -1.0000000e+00 
    91 :  1.6000000e-01 -1.0000000e+00 
    92 :  1.8000000e-01 -1.0000000e+00 
    93 :  2.0000000e-01 -1.0000000e+00 
    94 :  2.2000000e-01 -1.0000000e+00 
    95 :  2.4000000e-01 -1.0000000e+00 
    96 :  2.6000000e-01 -1.0000000e+00 
