Number of nodes 254 
     0 :  3.7500000e-01  5.0000000e-01 
     1 :  0.0000000e+00 -1.0000000e+00 
     2 : -5.0000000e-01 -5.0000000e-01 
     3 :  5.0000000e-01 -1.0000000e+00 
     4 : -5.0000000e-01  1.0000000e+00 
     5 :  5.0000000e-01  1.0000000e+00 
     6 :  3.5112712e-01  5.7347316e-01 
     7 :  2.8862712e-01  6.1888206e-01 
     8 :  2.1137288e-01  6.1888206e-01 
     9 :  1.4887288e-01  5.7347316e-01 
    10 :  1.2500000e-01  5.0000000e-01 
    11 :  1.4887288e-01  4.2652684e-01 
    12 :  2.1137288e-01  3.8111794e-01 
    13 :  2.8862712e-01  3.8111794e-01 
    14 :  3.5112712e-01  4.2652684e-01 
    15 : -3.8548188e-04 -9.8037009e-01 
    16 : -1.5413331e-03 -9.6077045e-01 
    17 : -3.4657715e-03 -9.4123130e-01 
    18 : -6.1558297e-03 -9.2178277e-01 
    19 : -9.6073598e-03 -9.0245484e-01 
    20 : -1.3815040e-02 -8.8327732e-01 
    21 : -1.8772382e-02 -8.6427978e-01 
    22 : -2.4471742e-02 -8.4549150e-01 
    23 : -3.0904332e-02 -8.2694147e-01 
    24 : -3.8060234e-02 -8.0865828e-01 
    25 : -4.5928413e-02 -7.9067013e-01 
    26 : -5.4496738e-02 -7.7300475e-01 
    27 : -6.3751996e-02 -7.5568938e-01 
    28 : -7.3679918e-02 -7.3875072e-01 
    29 : -8.4265194e-02 -7.2221488e-01 
    30 : -9.5491503e-02 -7.0610737e-01 
    31 : -1.0734153e-01 -6.9045303e-01 
    32 : -1.1979702e-01 -6.7527598e-01 
    33 : -1.3283875e-01 -6.6059963e-01 
    34 : -1.4644661e-01 -6.4644661e-01 
    35 : -1.6059963e-01 -6.3283875e-01 
    36 : -1.7527598e-01 -6.1979702e-01 
    37 : -1.9045303e-01 -6.0734153e-01 
    38 : -2.0610737e-01 -5.9549150e-01 
    39 : -2.2221488e-01 -5.8426519e-01 
    40 : -2.3875072e-01 -5.7367992e-01 
    41 : -2.5568938e-01 -5.6375200e-01 
    42 : -2.7300475e-01 -5.5449674e-01 
    43 : -2.9067013e-01 -5.4592841e-01 
    44 : -3.0865828e-01 -5.3806023e-01 
    45 : -3.2694147e-01 -5.3090433e-01 
    46 : -3.4549150e-01 -5.2447174e-01 
    47 : -3.6427978e-01 -5.1877238e-01 
    48 : -3.8327732e-01 -5.1381504e-01 
    49 : -4.0245484e-01 -5.0960736e-01 
    50 : -4.2178277e-01 -5.0615583e-01 
    51 : -4.4123130e-01 -5.0346577e-01 
    52 : -4.6077045e-01 -5.0154133e-01 
    53 : -4.8037009e-01 -5.0038548e-01 
    54 :  1.8541213e-02 -1.0000000e+00 
    55 :  4.1603748e-02 -1.0000000e+00 
    56 :  7.2845886e-02 -1.0000000e+00 
    57 :  1.1522650e-01 -1.0000000e+00 
    58 :  1.7271671e-01 -1.0000000e+00 
    59 :  2.5070339e-01 -1.0000000e+00 
    60 :  3.5649396e-01 -1.0000000e+00 
    61 : -5.0000000e-01  6.2505189e-01 
    62 : -5.0000000e-01  3.0416952e-01 
    63 : -5.0000000e-01  7.1208108e-02 
    64 : -5.0000000e-01 -9.7936276e-02 
    65 : -5.0000000e-01 -2.2072616e-01 
    66 : -5.0000000e-01 -3.0986776e-01 
    67 : -5.0000000e-01 -3.7458205e-01 
    68 : -5.0000000e-01 -4.2156281e-01 
    69 : -5.0000000e-01 -4.5566952e-01 
    70 : -5.0000000e-01 -4.8044967e-01 
    71 :  5.0000000e-01 -6.0000000e-01 
    72 :  5.0000000e-01 -2.0000000e-01 
    73 :  5.0000000e-01  2.0000000e-01 
    74 :  5.0000000e-01  6.0000000e-01 
    75 :  1.6666667e-01  1.0000000e+00 
    76 : -1.6666667e-01  1.0000000e+00 
    77 : -2.7739115e-01 -5.3656029e-01 
    78 : -2.0443886e-01 -5.7592884e-01 
    79 : -1.4164379e-01 -6.2729029e-01 
    80 : -3.3064570e-01 -5.1162324e-01 
    81 : -4.0502835e-01 -1.8044559e-01 
    82 :  4.8970205e-03 -8.8922212e-01 
    83 : -3.8922212e-01 -4.9510298e-01 
    84 :  2.1171005e-01 -9.4133679e-01 
    85 : -2.9638477e-02 -7.7186486e-01 
    86 : -7.6236398e-02 -7.0376005e-01 
    87 : -1.1623239e-02 -8.3064570e-01 
    88 : -4.5491071e-01 -3.4892869e-01 
    89 : -4.2877133e-01 -4.8951183e-01 
    90 :  1.5178622e-02 -9.2906407e-01 
    91 : -2.3794290e-01 -5.5337803e-01 
    92 :  9.7274762e-02 -9.6755566e-01 
    93 : -3.3337334e-01  1.8139457e-01 
    94 : -4.7450124e-01 -4.3861617e-01 
    95 :  1.5854022e-02 -9.6958679e-01 
