meshSize, nNodes, meanDefX, meanDefY
0.08, 42030, 0.0000046554382039152988483174562539534946381536428816616535186768, -0.0000312089883976204735004968127132229938069940544664859771728516
0.09, 33716, 0.0000047148837021615418020159364587140515823193709366023540496826, -0.0000307350930249338961529510794168373877255362458527088165283203
0.1, 26977, 0.0000046234981167277463732123883588531754185169120319187641143799, -0.0000310309852218542940745747704678336731376475654542446136474609
0.11, 22689, 0.0000046585581873430566098221762560971370703555294312536716461182, -0.0000309532837196814224222686517951075302335084415972232818603516
0.12, 19724, 0.0000045750664603711481599485760840551051842339802533388137817383, -0.0000303317463551862940651735606190086969036201480776071548461914
0.13, 16935, 0.0000046867052804771718233682945009554998705425532534718513488770, -0.0000303532046603135332110429828178510547331825364381074905395508
0.14, 15019, 0.0000047035956710100731520364167326242466060648439452052116394043, -0.0000303290945330611789022921126468546049181895796209573745727539
0.15, 13458, 0.0000045566270985464763963127682311338162435276899486780166625977, -0.0000296256656434960198988164126188138425277429632842540740966797
0.16, 12374, 0.0000045929427214129878168026761831033155658587929792702198028564, -0.0000295627463195552274291891259316855666838819161057472229003906
0.18, 9858, 0.0000046327015396412703234938976204482230514258844777941703796387, -0.0000295719272272833387917110453679825354811327997595071792602539
0.24, 6439, 0.0000044356066168178389031362049421680637806275626644492149353027, -0.0000276342736286130031457628636326617765917035285383462905883789
0.28, 4579, 0.0000044660114981810466094815786908256427523156162351369857788086, -0.0000276885113037864329544202740551739339025516528636217117309570
0.32, 3703, 0.0000043737720909660484150654341517494572144642006605863571166992, -0.0000278220586606191467226797953138373031833907589316368103027344
0.48, 2239, 0.0000039703167104536536637007099193041881335375364869832992553711, -0.0000251254821614326917663621158149922507618612144142389297485352
0.64, 1462, 0.0000040362653357517061018214406253878934194290195591747760772705, -0.0000236212789169612024720631276997195868716516997665166854858398
0.96, 908, 0.0000035371622829893907735329932479073633544430776964873075485229, -0.0000211450235358669758338641397887869288751971907913684844970703
1.28, 659, 0.0000034805255667637320825193343598602524480156716890633106231689, -0.0000203912013088013259747444810843219897833478171378374099731445
1.92, 454, 0.0000030542958384192470733589901826787738059465482365339994430542, -0.0000178430940399112223477499222790143562633602414280176162719727
2.56, 334, 0.0000026367643143116651771996981207246690814827161375433206558228, -0.0000153214118779692794484938861421241540483606513589620590209961
3.2, 289, 0.0000028411769208749042805648137716145740228057547938078641891479, -0.0000140982802068192322259487445079706446904310723766684532165527
4.48, 236, 0.0000024539049594360574442942091871744381137432355899363756179810, -0.0000114694766562674498760511510031534498921246267855167388916016
5.12, 219, 0.0000019982898650005585871691857896559341156716982368379831314087, -0.0000092884623559051080800025995687363433717109728604555130004883
10.0, 178, 0.0000022858863000474997696526580776010817430687893647700548171997, -0.0000087359748131952087908148885109227421708055771887302398681641
